,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1,W / X / Y,Tani Yuuki,1695592,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,audio_features,4IfrM44LofE9bSs6TDZS49,spotify:track:4IfrM44LofE9bSs6TDZS49,https://api.spotify.com/v1/tracks/4IfrM44LofE9bSs6TDZS49,https://api.spotify.com/v1/audio-analysis/4IfrM44LofE9bSs6TDZS49,278119,3
1,2,ミックスナッツ,Official HIGE DANdism,1568535,https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,audio_features,60ReNXcPcsVFd7nUuQw5HZ,spotify:track:60ReNXcPcsVFd7nUuQw5HZ,https://api.spotify.com/v1/tracks/60ReNXcPcsVFd7nUuQw5HZ,https://api.spotify.com/v1/audio-analysis/60ReNXcPcsVFd7nUuQw5HZ,213438,4
2,3,シンデレラボーイ,Saucy Dog,1552549,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,audio_features,1Vqs0lXeJafYZz2sxnfB3V,spotify:track:1Vqs0lXeJafYZz2sxnfB3V,https://api.spotify.com/v1/tracks/1Vqs0lXeJafYZz2sxnfB3V,https://api.spotify.com/v1/audio-analysis/1Vqs0lXeJafYZz2sxnfB3V,234324,4
3,4,ベテルギウス,Yuuri,1418578,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,audio_features,4JK1kDUdH9RTBQrrSO1QfR,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,https://api.spotify.com/v1/tracks/4JK1kDUdH9RTBQrrSO1QfR,https://api.spotify.com/v1/audio-analysis/4JK1kDUdH9RTBQrrSO1QfR,230600,4
4,5,M八七,Kenshi Yonezu,1320857,https://open.spotify.com/track/3sFdaHo9D3hfiFt2wVi6a5,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23e-05,0.34,0.334,112.013,audio_features,3sFdaHo9D3hfiFt2wVi6a5,spotify:track:3sFdaHo9D3hfiFt2wVi6a5,https://api.spotify.com/v1/tracks/3sFdaHo9D3hfiFt2wVi6a5,https://api.spotify.com/v1/audio-analysis/3sFdaHo9D3hfiFt2wVi6a5,263120,4
5,6,なんでもないよ、,Macaroni Empitsu,1278166,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,audio_features,5W7Y92LB4jWvu9NeEQ0GZl,spotify:track:5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/tracks/5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/audio-analysis/5W7Y92LB4jWvu9NeEQ0GZl,219253,4
6,7,Habit,SEKAI NO OWARI,1217306,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,audio_features,2uMNMcjjUz8oNIxjIu20qE,spotify:track:2uMNMcjjUz8oNIxjIu20qE,https://api.spotify.com/v1/tracks/2uMNMcjjUz8oNIxjIu20qE,https://api.spotify.com/v1/audio-analysis/2uMNMcjjUz8oNIxjIu20qE,253154,4
7,8,Comedy,Gen Hoshino,1156192,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,audio_features,5SuOikwiRyPMVoIQDJUgSV,spotify:track:5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/tracks/5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV,230667,4
8,9,ドライフラワー,Yuuri,1138709,https://open.spotify.com/track/4kPlQKwtPrnqLgrmmKFSlA,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,audio_features,4kPlQKwtPrnqLgrmmKFSlA,spotify:track:4kPlQKwtPrnqLgrmmKFSlA,https://api.spotify.com/v1/tracks/4kPlQKwtPrnqLgrmmKFSlA,https://api.spotify.com/v1/audio-analysis/4kPlQKwtPrnqLgrmmKFSlA,286360,4
9,10,Bye-Good-Bye,BE:FIRST,1132790,https://open.spotify.com/track/0rPrGZTtScNSRL2jZoooKO,0.877,0.639,2,-5.509,1,0.0496,0.108,0.0,0.0806,0.79,115.028,audio_features,0rPrGZTtScNSRL2jZoooKO,spotify:track:0rPrGZTtScNSRL2jZoooKO,https://api.spotify.com/v1/tracks/0rPrGZTtScNSRL2jZoooKO,https://api.spotify.com/v1/audio-analysis/0rPrGZTtScNSRL2jZoooKO,181013,4
10,11,カメレオン,King Gnu,1111848,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,audio_features,0J0P8iSE6l3pYHbUdNFYdS,spotify:track:0J0P8iSE6l3pYHbUdNFYdS,https://api.spotify.com/v1/tracks/0J0P8iSE6l3pYHbUdNFYdS,https://api.spotify.com/v1/audio-analysis/0J0P8iSE6l3pYHbUdNFYdS,193990,4
11,12,水平線,back number,1101862,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,0.419,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,audio_features,5m1i6hq7dmRlp3c1utE48L,spotify:track:5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/tracks/5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/audio-analysis/5m1i6hq7dmRlp3c1utE48L,285396,4
12,13,CITRUS,Da-iCE,1022943,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR,0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,audio_features,2IL2asrtx7XM1y8fu2RMnR,spotify:track:2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/tracks/2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/audio-analysis/2IL2asrtx7XM1y8fu2RMnR,248653,4
13,14,シャッター,Yuuri,1020036,https://open.spotify.com/track/19mjCzLuMHZ0Tyn3eI85bo,0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,audio_features,19mjCzLuMHZ0Tyn3eI85bo,spotify:track:19mjCzLuMHZ0Tyn3eI85bo,https://api.spotify.com/v1/tracks/19mjCzLuMHZ0Tyn3eI85bo,https://api.spotify.com/v1/audio-analysis/19mjCzLuMHZ0Tyn3eI85bo,248947,4
14,15,きらり,Fujii Kaze,977385,https://open.spotify.com/track/51oc6MEsXTpnPn6GOw5VuP,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,audio_features,51oc6MEsXTpnPn6GOw5VuP,spotify:track:51oc6MEsXTpnPn6GOw5VuP,https://api.spotify.com/v1/tracks/51oc6MEsXTpnPn6GOw5VuP,https://api.spotify.com/v1/audio-analysis/51oc6MEsXTpnPn6GOw5VuP,231883,4
15,16,残響散歌,Aimer,965617,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,audio_features,7v8wKvNQQIxkugCFFjrkaO,spotify:track:7v8wKvNQQIxkugCFFjrkaO,https://api.spotify.com/v1/tracks/7v8wKvNQQIxkugCFFjrkaO,https://api.spotify.com/v1/audio-analysis/7v8wKvNQQIxkugCFFjrkaO,184893,4
16,17,恋風邪にのせて,Vaundy,948618,https://open.spotify.com/track/5PeXak0Ox3JmH2oor0qnGt,0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,audio_features,5PeXak0Ox3JmH2oor0qnGt,spotify:track:5PeXak0Ox3JmH2oor0qnGt,https://api.spotify.com/v1/tracks/5PeXak0Ox3JmH2oor0qnGt,https://api.spotify.com/v1/audio-analysis/5PeXak0Ox3JmH2oor0qnGt,255914,4
17,18,Dynamite,BTS,919250,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,5QDLhrAOJJdNAmCTJ8xMyW,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,199054,4
18,19,Butter,BTS,918455,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,audio_features,1mWdTewIgB3gtBM3TOSFhB,spotify:track:1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/tracks/1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/audio-analysis/1mWdTewIgB3gtBM3TOSFhB,164442,4
19,20,群青,YOASOBI,909669,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,audio_features,1zd35Y44Blc1CwwVbW3Qnk,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,4
